cust_id,similar_customers
C0001,"[('C0120', 0.9999999863980915), ('C0102', 0.9999999700909558), ('C0153', 0.9999999517366813)]"
C0002,"[('C0034', 0.9999999113804374), ('C0176', 0.999999877736369), ('C0030', 0.9999998762472673)]"
C0003,"[('C0031', 0.9999999713493515), ('C0025', 0.999999925816807), ('C0076', 0.9999999071299613)]"
C0004,"[('C0169', 0.9999999926262992), ('C0165', 0.9999999836163164), ('C0174', 0.9999999767394253)]"
C0005,"[('C0146', 0.9999999405460502), ('C0028', 0.9999999374492478), ('C0007', 0.9999999367645143)]"
C0006,"[('C0126', 0.9999999998071625), ('C0171', 0.9999999961651772), ('C0118', 0.9999999958529029)]"
C0007,"[('C0146', 0.9999999999398864), ('C0114', 0.9999999619200217), ('C0054', 0.9999999586145429)]"
C0008,"[('C0160', 0.9999999833233437), ('C0038', 0.9999999717420458), ('C0047', 0.9999999543188519)]"
C0009,"[('C0198', 0.9999999901629574), ('C0061', 0.9999994344155441), ('C0103', 0.9999993699209405)]"
C0010,"[('C0049', 0.9999996628853765), ('C0091', 0.999999371886926), ('C0111', 0.9999993641615729)]"
C0011,"[('C0153', 0.9999999935911742), ('C0137', 0.9999999824729728), ('C0087', 0.9999999813267635)]"
C0012,"[('C0153', 0.9999999803303015), ('C0191', 0.9999999709010686), ('C0011', 0.9999999680011462)]"
C0013,"[('C0099', 0.9999999915861797), ('C0082', 0.9999999848150284), ('C0171', 0.9999999821629825)]"
C0014,"[('C0010', 0.9999913883236659), ('C0119', 0.9999913117105527), ('C0172', 0.9999912929985303)]"
C0015,"[('C0131', 0.9999999283609394), ('C0125', 0.9999998564225356), ('C0139', 0.9999998221461823)]"
C0016,"[('C0042', 0.9999999714982044), ('C0185', 0.999999965000933), ('C0040', 0.9999999647654726)]"
C0017,"[('C0161', 0.9999999771342062), ('C0124', 0.9999999714886582), ('C0165', 0.9999999652678647)]"
C0018,"[('C0024', 0.9999999932056672), ('C0156', 0.9999999922769393), ('C0194', 0.9999999881421884)]"
C0019,"[('C0073', 0.9999999835325953), ('C0075', 0.9999999288762139), ('C0142', 0.9999998881984831)]"
C0020,"[('C0015', 0.9999993674235306), ('C0026', 0.99999934794154), ('C0035', 0.9999993258744518)]"
C0021,"[('C0082', 0.9999999863378568), ('C0155', 0.9999999824104184), ('C0054', 0.9999999807675464)]"
C0022,"[('C0200', 0.9999999901836416), ('C0092', 0.9999999888219109), ('C0099', 0.9999999822003768)]"
C0023,"[('C0074', 0.9999999865420128), ('C0051', 0.9999999800830148), ('C0100', 0.9999999764664848)]"
C0024,"[('C0018', 0.9999999932056672), ('C0116', 0.99999998810697), ('C0156', 0.99999997103243)]"
C0025,"[('C0031', 0.9999999819767099), ('C0003', 0.999999925816807), ('C0076', 0.9999999095388247)]"
C0026,"[('C0125', 0.9999999586459625), ('C0122', 0.9999999562793543), ('C0046', 0.9999999548755423)]"
C0027,"[('C0075', 0.9999999798679627), ('C0161', 0.9999999744356879), ('C0142', 0.9999999733906941)]"
C0028,"[('C0177', 0.9999999870282114), ('C0173', 0.9999999863776443), ('C0101', 0.9999999857480878)]"
C0029,"[('C0034', 0.9999999426851094), ('C0176', 0.9999998805948783), ('C0030', 0.9999998464534053)]"
C0030,"[('C0176', 0.9999999974686854), ('C0034', 0.9999999017907618), ('C0002', 0.9999998762472673)]"
